MIN,Item Name,Department
104788939,Isigny Creamy Brie 125G,Cheese (Deli)
104789350,Edam Ball 125G,Cheese (Deli)
104789499,Red Fox Crunchy Red Leicester 125G,Cheese (Deli)
104789552,Traditional Wensleydale 125G,Cheese (Deli)
104789579,Bavarian Smoked Cheese 125G,Cheese (Deli)
104789595,Applewood Smoked Cheddar 125G,Cheese (Deli)
104789843,White Stilton Exp 125G,Cheese (Deli)
104806471,Belton'S Cheshire Cheese 125G,Cheese (Deli)
104806498,Coloured Cheshire Cheese 125G,Cheese (Deli)
104899401,Wensleydale And Cranberry Cheese 125G,Cheese (Deli)
105082348,Cambozola Cheese 125G,Cheese (Deli)
105137581,Wensleydale Cheddar With Pickled Onion 125G,Cheese (Deli)
105174584,Blacksticks Blue 125G,Cheese (Deli)
105546413,M Double Gloucester Express 125G,Cheese (Deli)
105546464,M Red Leicester Express 125G,Cheese (Deli)
105547230,Morrisons Double Gloucester  With Onion And Chives 125G,Cheese (Deli)
105549577,Cricket St Thomas Somerset Brie 125G,Cheese (Deli)
109846894,Morrisons The Best Cropwell Bishop Blue Stilton ,Cheese (Deli)
110278441,Wensleydale & Apricots  Cheese 125g,Cheese (Deli)
109086872,Yorkshire Cured Ham 150G,Cooked Meats And Pate
109088798,Pressed Ox Tongue 150G,Cooked Meats And Pate
111543577,Market Street Deli Thickly Sliced Wiltshire Ham 125G,Cooked Meats And Pate
102407961,Boneless Salmon Fillet 300G,Counter Seafood
102408154,Morrisons Whole Rainbow Trout 840G,Counter Seafood
102408277,Morrisons Fresh British Whole Herring 150G,Counter Seafood
102408576,Market Street Lemon Sole Fillet 120G,Counter Seafood
102409616,Morrisons Sardines 220G,Counter Seafood
102409739,Morrisons Octopus 200G,Counter Seafood
102409755,Market Street Ray Wings 390G,Counter Seafood
102410043,"Market Street Monkfish Tails 330G
",Counter Seafood
102410633,Market Street Whole Seabass 700G,Counter Seafood
102413201,Smoked Haddock Fillet With No Colour 245G,Counter Seafood
109584943,Morrisons Cod Fillet 350G,Counter Seafood
109589488,"Market Street Smoked Cod Loin Colour 400G
",Counter Seafood
105813649,Morrisons Spray Carnation Flowers Bouquet,Cut Flowers
106428793,Morrisons Chrysanthemum,Cut Flowers
105488559,4 Large Vegetable Samosas ,Deli Kitchen Retail
105517786,4 Large Chicken Satay Skewers ,Deli Kitchen Retail
105520985,12 Mini Sweet Chilli Chicken Satays ,Deli Kitchen Retail
106584032,12 Vegetable Spring Rolls ,Deli Kitchen Retail
106584198,12 Mini Vegetable Samosas ,Deli Kitchen Retail
110184533,4 Duck Spring Rolls ,Deli Kitchen Retail
110184744,4 Large Vegetable Pakoras ,Deli Kitchen Retail
110184816,4 Chicken Katsu Spring Rolls ,Deli Kitchen Retail
110184883,4 Red Onion Bhajis ,Deli Kitchen Retail
102398726,WHOLE GATEAU / CHOCOLATE FUDGE,FTO Cakeshop
105630412,MORRISONS FRESH CREAM LARGE STRAWBERRY GATEAU,FTO Cakeshop
108255128,Morrisons Cookies 21 Party Pack,FTO Cakeshop
109905313,MORRISONS FRUIT TART PLATTER,FTO Cakeshop
109905356,MORRISONS THE BEST SCONE PLATTER,FTO Cakeshop
112018643,MORRISONS PASTRIES PLATTER 8 PACK,FTO Cakeshop
112390091,MORRISONS CAKESHOP CHOCOLATE PLATTER,FTO Cakeshop
112594376,MORRISONS WHOLE VICTORIA SPONGE CAKE,FTO Cakeshop
113380986,WHOLE LEMON MERINGUE CAKE,FTO Cakeshop
114233953,MORRISONS CHRISTMAS ICED DOUGHNUTS 12PK,FTO Cakeshop
114399865,MORRISONS THE BEST MILK CHOCOLATE GIANT COOKIE HAPPY BIRTHDAY,FTO Cakeshop
114399937,MORRISONS THE BEST MILK CHOCOLATE GIANT COOKIE GOOD LUCK,FTO Cakeshop
114399953,MORRISONS THE BEST MILK CHOCOLATE GIANT COOKIE THANK YOU,FTO Cakeshop
114399970,MORRISONS THE BEST MILK CHOCOLATE GIANT COOKIE IT'S A BOY!,FTO Cakeshop
114399996,MORRISONS THE BEST MILK CHOCOLATE GIANT COOKIE IT'S A GIRL!,FTO Cakeshop
114400011,MORRISONS THE BEST MILK CHOCOLATE GIANT COOKIE I LOVE YOU,FTO Cakeshop
114400053,MORRISONS THE BEST TRIPLE CHOCOLATE GIANT COOKIE HAPPY BIRTHDAY,FTO Cakeshop
114406421,MORRISONS THE BEST TRIPLE CHOCOLATE GIANT COOKIE IT'S A GIRL!,FTO Cakeshop
114406447,MORRISONS GIANT BROWNIE GOOD LUCK,FTO Cakeshop
114406480,MORRISONS THE BEST TRIPLE CHOCOLATE GIANT COOKIE THANK YOU,FTO Cakeshop
114406501,MORRISONS THE BEST TRIPLE CHOCOLATE GIANT COOKIE IT'S A BOY!,FTO Cakeshop
114451601,MORRISONS GIANT BROWNIE THANK YOU,FTO Cakeshop
114452064,MORRISONS THE BEST TRIPLE CHOCOLATE GIANT COOKIE I LOVE YOU,FTO Cakeshop
114452136,MORRISONS GIANT BROWNIE HAPPY ANNIVERSARY,FTO Cakeshop
114452953,MORRISONS GIANT BROWNIE I LOVE YOU,FTO Cakeshop
114452970,MORRISONS GIANT BROWNIE HAPPY BIRTHDAY,FTO Cakeshop
114472903,MORRISONS THE BEST MILK CHOCOLATE GIANT COOKIE  MERRY CHRISTMAS,FTO Cakeshop
114472946,MORRISONS THE BEST MILK CHOCOLATE GIANT COOKIE HAPPY NEW YEAR,FTO Cakeshop
114472971,MORRISONS THE BEST TRIPLE CHOCOLATE GIANT COOKIE MERRY CHRISTMAS,FTO Cakeshop
114473412,MORRISONS THE BEST TRIPLE CHOCOLATE GIANT COOKIE HAPPY NEW YEAR,FTO Cakeshop
114479814,MORRISONS THE BEST TRIPLE CHOCOLATE GIANT COOKIE WELL DONE,FTO Cakeshop
114480057,MORRISONS THE BEST MILK CHOCOLATE GIANT COOKIE WELL DONE,FTO Cakeshop
104490180,Deli style coleslaw 900g,FTO Deli
105957503,Cooked Meats Platter,FTO Deli
111988525,MORRISONS SPICY GRAZING BOX,FTO Deli
